SMILES,Reactant_set_id,IC50 (nM),MW,LogP,HBA,HBD,Rotatable Bonds
Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,3810,8.0,352.78500000000014,4.199100000000001,6,4,4
COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,3819,8.0,366.81200000000007,4.502100000000002,6,3,5
Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,3820,1.0,352.785,4.199100000000001,6,4,4
Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,3822,5.0,351.8010000000001,4.075700000000001,6,4,4
Clc1cccc(Nc2ncnc3n[nH]c(NCc4ccccc4)c23)c1,3840,7.0,350.81300000000005,4.362000000000001,5,3,5
COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,3842,8.0,380.8390000000001,4.370600000000002,6,3,6
COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,3859,7.0,380.8390000000001,4.370600000000002,6,3,6
Oc1ccc(cc1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,3879,6.0,337.77000000000004,4.122500000000001,5,3,3
Nc1cccc(c1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,3881,5.0,336.7860000000001,3.999100000000001,5,3,3
Nc1ccc(cc1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,3899,2.0,336.7860000000001,3.999100000000001,5,3,3
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,3902,6.0,360.2110000000001,4.153100000000003,5,1,4
COc1cc2ncnc(NCc3ccccc3)c2cc1OC,4875,10.0,295.3420000000001,3.259100000000002,5,1,5
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,4880,0.79,315.17400000000004,3.7181000000000015,4,2,2
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,4883,0.1,315.17400000000004,3.7181000000000015,4,2,2
COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,4884,10.0,330.18500000000006,4.1445000000000025,4,1,3
Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,4888,0.17,332.1570000000001,3.5471000000000017,5,3,2
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,4889,0.12,330.1890000000001,3.300300000000001,5,3,2
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,4896,10.0,316.16200000000003,3.113100000000001,5,2,2
Cc1cc(CCC(O)=O)[nH]c1\C=C1/C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c12,8206,4.7,441.8500000000001,4.1591200000000015,5,4,6
Cc1cc([nH]c1\C=C1/C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c12)C(=O)NCCN1CCOCC1,8209,6.5,525.9720000000003,3.203920000000002,7,4,7
CN1CCN(CC1)C(=O)c1cc(C)c(\C=C2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1,8213,2.8,495.9460000000001,3.5295200000000007,6,3,4
CCN(CC)CCNC(=O)c1cc(C)c(\C=C2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1,8217,1.2,511.9890000000001,4.213520000000002,6,4,9
CC1CN(CC(C)N1)C(=O)c1cc(C)c(\C=C2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1,8218,5.9,509.9730000000001,3.9643200000000016,6,4,4
CCN(CC)CC(O)CNC(=O)c1cc(C)c(\C=C2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1,8219,0.45,542.0150000000001,3.57442,7,5,10
Cc1cc([nH]c1\C=C1/C(=O)Nc2ncnc(Nc3ccc4n(Cc5ccccc5)ccc4c3)c12)C(=O)N1CCOCC1,8223,4.5,559.6300000000001,4.824820000000003,7,3,6
Cc1cc([nH]c1\C=C1/C(=O)Nc2ncnc(Nc3ccc4n(Cc5ccccc5)ncc4c3)c12)C(=O)N1CCOCC1,8224,1.8,560.6180000000002,4.219820000000003,8,3,6
Cc1cc([nH]c1\C=C1/C(=O)Nc2ncnc(Nc3ccc4n(Cc5ccccc5)ccc4c3)c12)C(=O)NCCN1CCOCC1,8225,1.1,602.699,4.4144200000000025,8,4,9
Brc1cccc(Nc2ncnc3cnc(NC(=O)C=C)cc23)c1,7246,0.91,370.21000000000015,3.6554,5,2,4
Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1,7247,0.7,369.22200000000015,4.2604000000000015,4,2,4
Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl,7248,1.5,485.94700000000034,4.391500000000003,7,2,9
CN(C(=O)C=C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7249,0.17,384.2370000000001,3.679700000000002,5,1,4
CC(=C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7250,1.6,384.2370000000001,4.045500000000002,5,2,4
CC(=C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7251,1.2,383.2490000000001,4.650500000000003,4,2,4
C\C=C\C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7252,0.5,384.2370000000001,4.045500000000002,5,2,4
C\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7253,0.55,383.2490000000001,4.650500000000003,4,2,4
Cl\C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7254,0.69,404.6550000000001,4.2219000000000015,5,2,4
FC(F)(F)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7255,1.75,437.2190000000001,5.192900000000002,4,2,4
Brc1cccc(Nc2ncnc3cnc(NC(=O)\C=C\C=C)cc23)c1,7256,1.1,396.24800000000016,4.211600000000002,5,2,5
Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C=C)cc23)c1,7257,1.6,381.2330000000002,4.4155000000000015,4,2,4
Brc1cccc(Nc2ncnc3cnc(NC(=O)\C=C\c4ccccc4)cc23)c1,7258,9.1,446.30800000000016,5.182800000000002,5,2,5
CC(=O)C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7259,1.2,411.25900000000007,4.2196000000000025,5,2,5
OC(=O)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7260,0.37,413.2310000000001,3.715200000000001,5,3,5
CCOC(=O)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7261,2.7,441.2850000000001,4.193700000000002,6,2,6
CCOC(=O)\C=C\C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7262,1.5,442.2730000000001,3.588700000000001,7,2,6
CN(C)CCN(C(=O)C=C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7263,4.2,441.3330000000001,3.6115000000000013,6,1,7
Brc1cccc(Nc2ncnc3cnc(cc23)N(CCCN2CCOCC2)C(=O)C=C)c1,7264,2.7,497.3970000000005,3.7722000000000024,7,1,8
Brc1cccc(Nc2ncnc3ccc(cc23)N(CCCN2CCOCC2)C(=O)C=C)c1,7265,3.3,496.4090000000005,4.377200000000004,6,1,8
CN(C)CCCOC(=O)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7266,2.4,498.38100000000014,4.125500000000002,7,2,9
