SMILES,Reactant_set_id,IC50 (nM),MW,LogP,HBA,HBD,Rotatable Bonds
CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,5318,0.006,388.26500000000016,4.933300000000004,5,1,6
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5366,0.006,344.216,3.596900000000001,5,1,3
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5365,0.008,330.189,3.572600000000002,5,2,3
Brc1cccc(Nc2ncnc3cc4nc[nH]c4cc23)c1,5332,0.008,340.184,4.012200000000001,4,2,2
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,5334,0.01,354.211,4.0226000000000015,5,1,2
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,1055477,0.016,443.8660000000003,3.8153000000000032,7,1,4
CN1CCC2(CN(C(=O)O2)c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)CC1,1055475,0.017,441.8940000000002,4.586900000000004,6,1,3
CCCN1CC2(C1)CN(C(=O)O2)c1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,1055485,0.021,471.9200000000001,4.595500000000004,7,1,6
CCN1CC2(C1)CN(C(=O)O2)c1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,1055483,0.022,457.8930000000002,4.205400000000003,7,1,5
Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,5336,0.025,354.21100000000007,4.022600000000002,5,1,2
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CNCC#C,50598550,0.03,477.9270000000002,4.758780000000003,6,3,9
Fc1cc(Nc2ncnc3ccc(NC(=O)C=C)cc23)cc(Cl)c1Cl,50406291,0.037,377.2060000000001,4.943800000000001,4,2,4
COC[C@@H]1CN(C(=O)O1)c1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,1055481,0.038,432.8390000000002,4.146100000000002,7,1,6
Fc1cc(Cl)c(Cl)cc1Nc1ncnc2ccc(NC(=O)C=C)cc12,50316322,0.04,377.2060000000002,4.943800000000002,4,2,4
COc1ccccc1C(=O)NC(=O)N[C@H]1CN2CCC1CC2,51509304,0.05,303.3620000000001,1.2287999999999994,4,2,3
Fc1cc(Cl)c(Cl)cc1Nc1ncnc2ccc(NC(=O)CCl)cc12,50065977,0.07,399.64000000000016,4.996600000000002,4,2,4
COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,5330,0.072,439.10700000000014,4.915600000000003,5,1,4
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5357,0.091,344.216,3.596900000000001,5,1,3
Nc1ccc2cncnc2c1,50080479,0.1,145.16500000000002,1.212,3,1,0
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,4883,0.1,315.17400000000004,3.7181000000000015,4,2,2
CCOc1ccccc1-c1cc2c(N[C@H](CCO)c3ccccc3)ncnc2[nH]1,51381374,0.1,388.471,4.559200000000003,5,3,8
CN(C)CCNCc1ccc(cc1F)-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381368,0.1,448.5460000000001,3.5607000000000006,6,4,10
COc1cc(CN(C)CCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381370,0.1,474.60900000000015,3.772400000000002,7,3,11
COc1cc2ncnc(Nc3cccc(c3)C(C)=O)c2cc1NC1CN(C1)C(=O)C=C,648093,0.1,417.4690000000002,3.3933000000000018,7,2,7
COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,51381348,0.1,444.5830000000001,4.457800000000003,6,3,10
CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1,51506157,0.11,493.6150000000002,4.590320000000004,7,2,7
CC(C)N1CC2(C1)CN(C(=O)O2)c1ccc2ncnc(Nc3cccc(Cl)c3F)c2c1,1055487,0.114,441.8940000000002,4.585300000000004,6,1,4
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,4889,0.12,330.1890000000001,3.300300000000001,5,3,2
ONC(=O)CCCCCCn1cc(nn1)-c1ccc2ncnc(Nc3cccc(Cl)c3F)c2c1,50535459,0.12,483.9350000000001,4.880300000000004,8,3,10
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5356,0.13,330.1890000000001,3.5726000000000013,5,2,3
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5362,0.13,316.16200000000003,3.113100000000001,5,2,2
COc1ccc(cc1)-c1cc(=O)cc(o1)-c1ccc(OC)cc1,51479381,0.15,308.333,3.9910000000000014,4,0,4
Fc1ccc(Nc2ncnc3cc(\C=C\CCN4CCOCC4)c(NC(=O)C=C)nc23)cc1Cl,50154896,0.16,482.94700000000034,4.420900000000003,7,2,8
Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,4888,0.17,332.1570000000001,3.5471000000000017,5,3,2
CN(C(=O)C=C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7249,0.17,384.2370000000001,3.679700000000002,5,1,4
Brc1cccc(Nc2ncnc3ccc(NC(=O)CC#N)cc23)c1,50552422,0.17,382.2210000000002,3.988080000000001,5,2,4
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,50933656,0.18,386.81400000000014,4.6891000000000025,5,2,6
